"","Total_Cases.year","Total_Cases.rate_forecast","Total_Cases.lower_PI","Total_Cases.upper_PI","Total_Cases.Metric","Male_Cases.year","Male_Cases.rate_forecast","Male_Cases.lower_PI","Male_Cases.upper_PI","Male_Cases.Metric","Female_Cases.year","Female_Cases.rate_forecast","Female_Cases.lower_PI","Female_Cases.upper_PI","Female_Cases.Metric","Age_Standardized.year","Age_Standardized.rate_forecast","Age_Standardized.lower_PI","Age_Standardized.upper_PI","Age_Standardized.Metric","Male_Age_Standardized.year","Male_Age_Standardized.rate_forecast","Male_Age_Standardized.lower_PI","Male_Age_Standardized.upper_PI","Male_Age_Standardized.Metric","Female_Age_Standardized.year","Female_Age_Standardized.rate_forecast","Female_Age_Standardized.lower_PI","Female_Age_Standardized.upper_PI","Female_Age_Standardized.Metric"
"1",2022,2459,2459,2459,"Total_Cases",2022,1619,1619,1619,"Male_Cases",2022,840,840,840,"Female_Cases",2022,3.33918677937953,3.33918677937953,3.33918677937953,"Age_Standardized",2022,4.81442837978834,4.81442837978834,4.81442837978834,"Male_Age_Standardized",2022,2.09940875839262,2.09940875839262,2.09940875839262,"Female_Age_Standardized"
"2",2023,2598.74163608495,2551.94365598477,2645.53961618514,"Total_Cases",2023,1716.23218556451,1684.41349628587,1748.05087484316,"Male_Cases",2023,876.904041680344,856.145866678923,897.662216681765,"Female_Cases",2023,3.58862019911119,3.47514047791806,3.70580556823536,"Age_Standardized",2023,5.23443744674231,5.08435833067452,5.38894656943331,"Male_Age_Standardized",2023,2.2071936466256,2.11855993401003,2.29953550782169,"Female_Age_Standardized"
"3",2024,2737.7249481068,2650.82745077897,2824.62244543463,"Total_Cases",2024,1813.46437112903,1754.70338964988,1872.22535260818,"Male_Cases",2024,913.808083360688,876.091880308963,951.524286412413,"Female_Cases",2024,3.8566860089994,3.68535004828294,4.03598756621282,"Age_Standardized",2024,5.69108795945214,5.46170597839746,5.93010357758665,"Male_Age_Standardized",2024,2.33091659756678,2.15242337882666,2.52421165754763,"Female_Age_Standardized"
"4",2025,2877.03844126675,2738.01924073131,3016.05764180219,"Total_Cases",2025,1910.69655669354,1821.59255920162,1999.80055418547,"Male_Cases",2025,950.712125041032,894.097923829334,1007.32632625273,"Female_Cases",2025,4.14477602720279,3.92039719075968,4.38199689464271,"Age_Standardized",2025,6.18757650497445,5.88353157254575,6.50733365374732,"Male_Age_Standardized",2025,2.46157476627329,2.21633289839657,2.73395315944509,"Female_Age_Standardized"
"5",2026,3016.20817058053,2818.95017616433,3213.46616499673,"Total_Cases",2026,2007.92874225806,1885.08458179673,2130.77290271939,"Male_Cases",2026,987.616166721376,910.097094248342,1065.13523919441,"Female_Cases",2026,4.45438603909888,4.17712611838853,4.75004929776302,"Age_Standardized",2026,6.72737853951522,6.34714088927812,7.13039505557238,"Male_Age_Standardized",2026,2.59955690232705,2.29358745631954,2.94634332334555,"Female_Age_Standardized"
"6",2027,3155.44049596986,2893.02971301612,3417.8512789236,"Total_Cases",2027,2105.16092782257,1945.39672778479,2264.92512786036,"Male_Cases",2027,1024.52020840172,924.195905381703,1124.84451142174,"Female_Cases",2027,4.78712356351607,4.45522880868875,5.14374300320516,"Age_Standardized",2027,7.314272716878,6.85363499993357,7.80587022468872,"Male_Age_Standardized",2027,2.74527354644077,2.38031781879402,3.16618511413986,"Female_Age_Standardized"
"7",2028,3294.6455664632,2961.38303393732,3627.90809898908,"Total_Cases",2028,2202.39311338709,2002.74465125946,2402.04157551471,"Male_Cases",2028,1061.42425008206,936.513151031389,1186.33534913274,"Female_Cases",2028,5.14471619909415,4.75530600634286,5.56601504380945,"Age_Standardized",2028,7.95236733931744,7.40542374101536,8.53970664084806,"Male_Age_Standardized",2028,2.8991582519471,2.47504514463139,3.39594556004946,"Female_Age_Standardized"
"8",2029,3433.86250398412,3024.26153604025,3843.46347192799,"Total_Cases",2029,2299.6252989516,2057.31627166169,2541.93432624151,"Male_Cases",2029,1098.32829176241,947.15622220273,1249.50036132209,"Female_Cases",2029,5.52902059410836,5.07839407228623,6.01963303653434,"Age_Standardized",2029,8.64612911595617,8.00563261235426,9.33786901167842,"Male_Age_Standardized",2029,3.06166887475754,2.57712604641673,3.6373138642918,"Female_Age_Standardized"
"9",2030,3573.07427449418,3082.10601755401,4064.04253143435,"Total_Cases",2030,2396.85748451612,2109.27215988953,2684.4428091427,"Male_Cases",2030,1135.23233344275,956.218537962434,1314.24612892307,"Female_Cases",2030,5.94203208632906,5.42580170949339,6.50737848624049,"Age_Standardized",2030,9.40041443007604,8.65790943116286,10.2065968880565,"Male_Age_Standardized",2030,3.23328893562935,2.68629850136711,3.89165885174073,"Female_Age_Standardized"
"10",2031,3712.28829476738,3135.18208642599,4289.39450310878,"Total_Cases",2031,2494.08967008063,2158.74995929289,2829.42938086838,"Male_Cases",2031,1172.1363751231,963.781022211114,1380.49172803508,"Female_Cases",2031,6.38589506296785,5.79904369272292,7.03213459253817,"Age_Standardized",2031,10.220503334157,9.3663567184429,11.1525421830058,"Male_Age_Standardized",2031,3.41452905879349,2.80250582777563,4.16020854543557,"Female_Age_Standardized"
"11",2032,3851.50133547342,3183.75231715095,4519.25035379589,"Total_Cases",2032,2591.32185564515,2205.86871546314,2976.77499582715,"Male_Cases",2032,1209.04041680344,969.914144076101,1448.16668953078,"Female_Cases",2032,6.86291409449969,6.199812562581,7.59693771272253,"Age_Standardized",2032,11.1121365106314,10.1355141398362,12.1828627662397,"Male_Age_Standardized",2032,3.60592849122399,2.92581608680088,4.44413452454499,"Female_Age_Standardized"
