Year,Cost_Type,Cost,Type,lower_PI,upper_PI
2014,AE_Cost,25716840,Historical,NA,NA
2014,IP_Total,2082904808,Historical,NA,NA
2014,OP_Total,239761035,Historical,NA,NA
2015,AE_Cost,26357670,Historical,NA,NA
2015,IP_Total,2495167162,Historical,NA,NA
2015,OP_Total,236608605,Historical,NA,NA
2016,AE_Cost,24917340,Historical,NA,NA
2016,IP_Total,2458154081,Historical,NA,NA
2016,OP_Total,223085915,Historical,NA,NA
2017,AE_Cost,25346610,Historical,NA,NA
2017,IP_Total,2413395031,Historical,NA,NA
2017,OP_Total,232118015,Historical,NA,NA
2018,AE_Cost,22440120,Historical,NA,NA
2018,IP_Total,2267645558,Historical,NA,NA
2018,OP_Total,223931155,Historical,NA,NA
2019,AE_Cost,7254540,Historical,NA,NA
2019,IP_Total,2197426952,Historical,NA,NA
2019,OP_Total,280138250,Historical,NA,NA
2020,AE_Cost,19370040,Historical,19370040,19370040
2021,AE_Cost,10357830,Historical,10357830,10357830
2022,AE_Cost,18160950,Historical,18160950,18160950
2023,AE_Cost,22005520,Forecast,7599132.154,36411907.85
2024,AE_Cost,22005520,Forecast,7599132.154,36411907.85
2025,AE_Cost,22005520,Forecast,7599132.154,36411907.85
2026,AE_Cost,22005520,Forecast,7599132.154,36411907.85
2027,AE_Cost,22005520,Forecast,7599132.154,36411907.85
2028,AE_Cost,22005520,Forecast,7599132.154,36411907.85
2029,AE_Cost,22005520,Forecast,7599132.154,36411907.85
2030,AE_Cost,22005520,Forecast,7599132.154,36411907.85
2031,AE_Cost,22005520,Forecast,7599132.154,36411907.85
2032,AE_Cost,22005520,Forecast,7599132.154,36411907.85
2020,IP_Total,2090244053,Historical,2090244053,2090244053
2021,IP_Total,1783084403,Historical,1783084403,1783084403
2022,IP_Total,1723732161,Historical,1723732161,1723732161
2023,IP_Total,2319115599,Forecast,2000095959,2638135238
2024,IP_Total,2319115599,Forecast,2000095959,2638135238
2025,IP_Total,2319115599,Forecast,2000095959,2638135238
2026,IP_Total,2319115599,Forecast,2000095959,2638135238
2027,IP_Total,2319115599,Forecast,2000095959,2638135238
2028,IP_Total,2319115599,Forecast,2000095959,2638135238
2029,IP_Total,2319115599,Forecast,2000095959,2638135238
2030,IP_Total,2319115599,Forecast,2000095959,2638135238
2031,IP_Total,2319115599,Forecast,2000095959,2638135238
2032,IP_Total,2319115599,Forecast,2000095959,2638135238
2020,OP_Total,47665205,Historical,47665205,47665205
2021,OP_Total,86305460,Historical,86305460,86305460
2022,OP_Total,185844220,Historical,185844220,185844220
2023,OP_Total,239273829.2,Forecast,197920042.2,280627616.2
2024,OP_Total,239273829.2,Forecast,197920042.2,280627616.2
2025,OP_Total,239273829.2,Forecast,197920042.2,280627616.2
2026,OP_Total,239273829.2,Forecast,197920042.2,280627616.2
2027,OP_Total,239273829.2,Forecast,197920042.2,280627616.2
2028,OP_Total,239273829.2,Forecast,197920042.2,280627616.2
2029,OP_Total,239273829.2,Forecast,197920042.2,280627616.2
2030,OP_Total,239273829.2,Forecast,197920042.2,280627616.2
2031,OP_Total,239273829.2,Forecast,197920042.2,280627616.2
2032,OP_Total,239273829.2,Forecast,197920042.2,280627616.2
