"Year","Cost_Type","Cost","Type","lower_PI","upper_PI"
2014,"AE_Cost",12045390,"Historical",NA,NA
2014,"IP_Total",381359210,"Historical",NA,NA
2014,"OP_Total",118810115,"Historical",NA,NA
2015,"AE_Cost",12688680,"Historical",NA,NA
2015,"IP_Total",394667230,"Historical",NA,NA
2015,"OP_Total",126299245,"Historical",NA,NA
2016,"AE_Cost",13050300,"Historical",NA,NA
2016,"IP_Total",415798320,"Historical",NA,NA
2016,"OP_Total",131830200,"Historical",NA,NA
2017,"AE_Cost",14031840,"Historical",NA,NA
2017,"IP_Total",458174550,"Historical",NA,NA
2017,"OP_Total",143128220,"Historical",NA,NA
2018,"AE_Cost",13899000,"Historical",NA,NA
2018,"IP_Total",456068110,"Historical",NA,NA
2018,"OP_Total",153598665,"Historical",NA,NA
2019,"AE_Cost",15056430,"Historical",NA,NA
2019,"IP_Total",502243810,"Historical",NA,NA
2019,"OP_Total",161489830,"Historical",NA,NA
2020,"AE_Cost",12967890,"Historical",NA,NA
2020,"IP_Total",440769850,"Historical",NA,NA
2020,"OP_Total",149348635,"Historical",NA,NA
2021,"AE_Cost",14969100,"Historical",NA,NA
2021,"IP_Total",525162300,"Historical",NA,NA
2021,"OP_Total",173637920,"Historical",NA,NA
2022,"AE_Cost",14514000,"Historical",NA,NA
2022,"IP_Total",512307130,"Historical",NA,NA
2022,"OP_Total",176622745,"Historical",NA,NA
2023,"AE_Cost",13187797.1724306,"Forecast",11244096.3118779,15131498.0329833
2024,"AE_Cost",13144301.6192843,"Forecast",11185957.007241,15102646.2313277
2025,"AE_Cost",13138952.4324199,"Forecast",11180387.179019,15097517.6858207
2026,"AE_Cost",13138294.5766613,"Forecast",11179725.9863241,15096863.1669984
2027,"AE_Cost",13138213.671991,"Forecast",11179645.0311839,15096782.3127982
2028,"AE_Cost",13138203.7221417,"Forecast",11179635.0805713,15096772.3637122
2029,"AE_Cost",13138202.4984855,"Forecast",11179633.8569035,15096771.1400676
2030,"AE_Cost",13138202.3479974,"Forecast",11179633.7064152,15096770.9895796
2031,"AE_Cost",13138202.32949,"Forecast",11179633.6879078,15096770.9710722
2032,"AE_Cost",13138202.3272139,"Forecast",11179633.6856317,15096770.9687961
2023,"IP_Total",425402529.37026,"Forecast",354426913.956765,510591337.362969
2024,"IP_Total",421600742.808783,"Forecast",349498589.597631,508577692.807153
2025,"IP_Total",420707477.914581,"Forecast",348661646.435915,507640527.091297
2026,"IP_Total",420496705.080834,"Forecast",348481592.203824,507394028.664845
2027,"IP_Total",420446921.751977,"Forecast",348440034.813834,507334394.295884
2028,"IP_Total",420435160.434351,"Forecast",348430271.022349,507320226.829892
2029,"IP_Total",420432381.666286,"Forecast",348427967.218822,507316875.176595
2030,"IP_Total",420431725.136619,"Forecast",348427423.076052,507316083.04772
2031,"IP_Total",420431570.020202,"Forecast",348427294.52239,507315895.879947
2032,"IP_Total",420431533.371255,"Forecast",348427264.14988,507315851.657546
2023,"OP_Total",138506831.016758,"Forecast",109005664.593009,168007997.440508
2024,"OP_Total",136207374.780885,"Forecast",105602566.938003,166812182.623767
2025,"OP_Total",135572542.82959,"Forecast",104885243.650621,166259842.00856
2026,"OP_Total",135397278.95629,"Forecast",104703701.405116,166090856.507463
2027,"OP_Total",135348892.252971,"Forecast",104654836.2188,166042948.287143
2028,"OP_Total",135335533.692454,"Forecast",104641441.188756,166029626.196152
2029,"OP_Total",135331845.672257,"Forecast",104637750.388864,166025940.955649
2030,"OP_Total",135330827.48673,"Forecast",104636731.99147,166024922.981991
2031,"OP_Total",135330546.386923,"Forecast",104636450.875514,166024641.898332
2032,"OP_Total",135330468.781124,"Forecast",104636373.268484,166024564.293763
