"Year","Cost_Type","Cost","Type","lower_PI","upper_PI"
2014,"AE_Cost",25624590,"Historical",NA,NA
2014,"IP_Total",2141976682.92003,"Historical",NA,NA
2014,"OP_Total",211016835,"Historical",NA,NA
2015,"AE_Cost",26243280,"Historical",NA,NA
2015,"IP_Total",2530206536.43924,"Historical",NA,NA
2015,"OP_Total",255463770,"Historical",NA,NA
2016,"AE_Cost",24764820,"Historical",NA,NA
2016,"IP_Total",2499510562.51542,"Historical",NA,NA
2016,"OP_Total",230359720,"Historical",NA,NA
2017,"AE_Cost",25197780,"Historical",NA,NA
2017,"IP_Total",2475452321.06355,"Historical",NA,NA
2017,"OP_Total",284216560,"Historical",NA,NA
2018,"AE_Cost",22357710,"Historical",NA,NA
2018,"IP_Total",2308741812.84935,"Historical",NA,NA
2018,"OP_Total",253394435,"Historical",NA,NA
2019,"AE_Cost",25222380,"Historical",NA,NA
2019,"IP_Total",2228712943.76501,"Historical",NA,NA
2019,"OP_Total",305838380,"Historical",NA,NA
2020,"AE_Cost",19149870,"Historical",NA,NA
2020,"IP_Total",2041522827.07352,"Historical",NA,NA
2020,"OP_Total",186008545,"Historical",NA,NA
2021,"AE_Cost",23100630,"Historical",NA,NA
2021,"IP_Total",2187157543.13628,"Historical",NA,NA
2021,"OP_Total",207312600,"Historical",NA,NA
2022,"AE_Cost",18106830,"Historical",NA,NA
2022,"IP_Total",1862819349.32872,"Historical",NA,NA
2022,"OP_Total",165119920,"Historical",NA,NA
2023,"AE_Cost",27966704.8101326,"Forecast",24648191.6356094,31732006.5301317
2024,"AE_Cost",22762234.746725,"Forecast",19309053.633677,26832973.8212214
2025,"AE_Cost",27030666.7397503,"Forecast",22429755.8997251,32575340.8847574
2026,"AE_Cost",23418289.1558372,"Forecast",19163303.2557034,28618044.5859815
2027,"AE_Cost",26397127.0745502,"Forecast",21403884.9716932,32555226.2456785
2028,"AE_Cost",23886492.4769227,"Forecast",19249339.8349998,29640731.9804633
2029,"AE_Cost",25964549.5037774,"Forecast",20836585.2018601,32354525.6769772
2030,"AE_Cost",24218201.7503005,"Forecast",19379450.5849594,30265114.7640616
2031,"AE_Cost",25667377.9164433,"Forecast",20498509.202963,32139619.6465982
2032,"AE_Cost",24452015.6856434,"Forecast",19501210.4253126,30659690.2474768
2023,"IP_Total",2620947288.13352,"Forecast",2301379698.61677,2984889756.04644
2024,"IP_Total",2276801271.1012,"Forecast",1931236097.29098,2684200049.57427
2025,"IP_Total",2539715361.18646,"Forecast",2116446207.54545,3047634328.17271
2026,"IP_Total",2333136590.33801,"Forecast",1925174376.14111,2827549762.05599
2027,"IP_Total",2491977979.56317,"Forecast",2044516481.63757,3037370599.06402
2028,"IP_Total",2367760853.08837,"Forecast",1936072087.08485,2895703881.49089
2029,"IP_Total",2463641169.92685,"Forecast",2010440665.4398,3019003703.26561
2030,"IP_Total",2388876534.82795,"Forecast",1947095939.24442,2930893636.8416
2031,"IP_Total",2446718470.1789,"Forecast",1992808711.56353,3004017012.55999
2032,"IP_Total",2401693771.40732,"Forecast",1955292383.05001,2950010454.50766
2023,"OP_Total",270499666.477516,"Forecast",219590581.336322,333211329.553251
2024,"OP_Total",235540361.729368,"Forecast",184031077.498831,301466810.701871
2025,"OP_Total",257107362.171278,"Forecast",198135361.203782,333631489.508249
2026,"OP_Total",243235088.339091,"Forecast",186450896.56103,317313079.693128
2027,"OP_Total",251927810.105446,"Forecast",192708867.853033,329344581.863915
2028,"OP_Total",246389199.745814,"Forecast",188314372.987947,322373894.186336
2029,"OP_Total",249881285.889808,"Forecast",190919394.322851,327052457.187007
2030,"OP_Total",247664800.903235,"Forecast",189200528.001392,324194938.853385
2031,"OP_Total",249065725.413323,"Forecast",190260521.248578,326046282.058783
2032,"OP_Total",248177906.308964,"Forecast",189578235.818489,324891055.737391
