"time","survival","n_risk","n_event","lower_CI","upper_CI","Sex"
0,1.00000,60945,105,0.997947936049067,0.998606442789468,"sex.=F"
0.0027378507871321,0.998244317569146,60838,2,0.997912003834678,0.998576741967098,"sex.=F"
0.0054757015742642,0.998178650081229,60806,4,0.997840187626823,0.998517227340426,"sex.=F"
0.0082135523613963,0.998096531956768,60777,5,0.997750532270498,0.998442651628724,"sex.=F"
0.0109514031485284,0.998030821238203,60757,4,0.997678906006838,0.998382860602021,"sex.=F"
0.0136892539356605,0.997915821802011,60750,7,0.997553787820398,0.998277987173635,"sex.=F"
0.0164271047227926,0.997817250856704,60743,6,0.997446765467564,0.99818787385662,"sex.=F"
0.0191649555099247,0.99773510704983,60736,5,0.997357724466874,0.998112632427704,"sex.=F"
0.0219028062970568,0.997669388757968,60728,4,0.997286578199943,0.998052346258633,"sex.=F"
0.0246406570841889,0.997554336274915,60700,7,0.997162201991721,0.997946624765013,"sex.=F"
0.027378507871321,0.997439247763297,60674,7,0.997038002909415,0.997840654092901,"sex.=F"
0.0301163586584531,0.99734057119012,60649,6,0.996931676025889,0.997749634064195,"sex.=F"
0.0328542094455852,0.99727476184857,60620,4,0.996860842100467,0.997688853465755,"sex.=F"
0.0355920602327173,0.997192464872019,60590,5,0.996772344567854,0.997612762248783,"sex.=F"
0.0383299110198494,0.997110163820149,60582,5,0.996683933610944,0.997536576305987,"sex.=F"
0.0410677618069815,0.996994932836415,60572,7,0.996560293398289,0.997429761838026,"sex.=F"
0.0438056125941136,0.996945525287338,60537,3,0.996507328626399,0.99738391463759,"sex.=F"
0.0465434633812457,0.996879621337493,60509,4,0.996436722851477,0.997322716684047,"sex.=F"
0.0492813141683778,0.996813682513797,60473,4,0.996366127328704,0.997261438735074,"sex.=F"
0.0520191649555099,0.996698238025236,60442,7,0.996242642526206,0.997154041874372,"sex.=F"
0.054757015742642,0.996681738584135,60408,1,0.996225005163218,0.997138681400939,"sex.=F"
0.0574948665297741,0.996615737541914,60404,4,0.996154480449861,0.997077208213397,"sex.=F"
0.0602327173169062,0.996533223944065,60391,5,0.996066373111301,0.997000293587248,"sex.=F"
0.0629705681040383,0.996483698562274,60365,3,0.996013521577851,0.996954097497896,"sex.=F"
0.0657084188911704,0.996351589293784,60343,8,0.995872651674935,0.996830757244535,"sex.=F"
0.0684462696783025,0.996285501799261,60305,4,0.99580224002127,0.996768998103684,"sex.=F"
0.0711841204654346,0.996235909038503,60268,3,0.995749426230504,0.996722629522282,"sex.=F"
0.0739219712525667,0.996136682354335,60240,6,0.995643816350497,0.996629792337892,"sex.=F"
0.0766598220396988,0.996037455670168,60234,6,0.99553828940303,0.996536872220962,"sex.=F"
0.0793976728268309,0.995987834089129,60218,3,0.995485546775794,0.996490374839137,"sex.=F"
0.082135523613963,0.99595473599548,60184,2,0.995450376757798,0.996459350774017,"sex.=F"
0.0848733744010951,0.995871956374156,60157,5,0.995362450541778,0.996381723012226,"sex.=F"
0.0876112251882272,0.99577257952618,60127,6,0.995256961682294,0.996288464498829,"sex.=F"
0.0903490759753593,0.995673154719598,60092,6,0.995151491909473,0.996195090987673,"sex.=F"
0.0930869267624914,0.995590282784226,60073,5,0.995063634300116,0.996117210002897,"sex.=F"
0.0958247775496235,0.995507406709741,60065,5,0.99497581967566,0.996039277755523,"sex.=F"
0.0985626283367557,0.995424523735242,60055,5,0.994888043647669,0.995961293112536,"sex.=F"
0.101300479123888,0.995374765777844,60016,3,0.994835368260963,0.995914455754855,"sex.=F"
0.10403832991102,0.995324988743382,59990,3,0.994782687566074,0.995867585553667,"sex.=F"
0.106776180698152,0.995275185141244,59955,3,0.994729992980651,0.995820676111055,"sex.=F"
0.109514031485284,0.99520875485306,59929,4,0.99465972925111,0.995758083502476,"sex.=F"
0.112251882272416,0.995092472741827,59910,7,0.994536800198042,0.995648455753737,"sex.=F"
0.114989733059548,0.99502602249323,59900,4,0.994466587498869,0.995585772196518,"sex.=F"
0.11772758384668,0.995009408544181,59891,1,0.994449036809183,0.995570096048483,"sex.=F"
0.120465434633812,0.994959550047009,59870,3,0.994396375758124,0.995523043288464,"sex.=F"
0.123203285420945,0.994926296051353,59840,2,0.994361259593318,0.995491653586054,"sex.=F"
0.125941136208077,0.99485975469929,59808,4,0.994291008856975,0.995428825870738,"sex.=F"
0.128678986995209,0.994826461198137,59763,2,0.994255867358374,0.995397382496193,"sex.=F"
0.131416837782341,0.994776505899883,59743,3,0.994203149805101,0.995350192648627,"sex.=F"
0.134154688569473,0.994676590285851,59737,6,0.994097749534788,0.995255768082858,"sex.=F"
0.136892539356605,0.994560016214528,59728,7,0.993974842465159,0.995145534467905,"sex.=F"
0.139630390143737,0.994443405043821,59702,7,0.993851963646197,0.995035198408278,"sex.=F"
0.142368240930869,0.994376745522427,59673,4,0.993781750311216,0.994972096968094,"sex.=F"
0.145106091718001,0.994343400114217,59641,2,0.993746634450272,0.99494052414844,"sex.=F"
0.147843942505133,0.99425999603771,59610,5,0.993658823298375,0.994861532492089,"sex.=F"
0.150581793292266,0.994209931753514,59579,3,0.993606128274399,0.99481410215734,"sex.=F"
0.153319644079398,0.994109798142809,59573,6,0.993500767569283,0.994719202061029,"sex.=F"
0.15605749486653,0.994059725453178,59560,3,0.993448097880979,0.994671729580819,"sex.=F"
0.158795345653662,0.99395952960335,59527,6,0.993342736437697,0.994576705752434,"sex.=F"
0.161533196440794,0.993909404730032,59489,3,0.993290042555709,0.994529153105249,"sex.=F"
0.164271047227926,0.993842559204703,59475,4,0.993219787323345,0.994465721578499,"sex.=F"
0.167008898015058,0.993775686692435,59447,4,0.99314952139886,0.994402246773468,"sex.=F"
0.16974674880219,0.993658624348189,59425,7,0.993026561978725,0.994291089025963,"sex.=F"
0.172484599589322,0.993608454772083,59418,3,0.992973882300715,0.994243432774984,"sex.=F"
0.175222450376454,0.993558280129111,59409,3,0.992921207201767,0.994195761811865,"sex.=F"
