,Total_Cases.year,Total_Cases.rate_forecast,Total_Cases.lower_PI,Total_Cases.upper_PI,Total_Cases.Metric,Male_Cases.year,Male_Cases.rate_forecast,Male_Cases.lower_PI,Male_Cases.upper_PI,Male_Cases.Metric,Female_Cases.year,Female_Cases.rate_forecast,Female_Cases.lower_PI,Female_Cases.upper_PI,Female_Cases.Metric,Age_Standardized.year,Age_Standardized.rate_forecast,Age_Standardized.lower_PI,Age_Standardized.upper_PI,Age_Standardized.Metric,Male_Age_Standardized.year,Male_Age_Standardized.rate_forecast,Male_Age_Standardized.lower_PI,Male_Age_Standardized.upper_PI,Male_Age_Standardized.Metric,Female_Age_Standardized.year,Female_Age_Standardized.rate_forecast,Female_Age_Standardized.lower_PI,Female_Age_Standardized.upper_PI,Female_Age_Standardized.Metric
1,2022,15876,15876,15876,Total_Cases,2022,4200,4200,4200,Male_Cases,2022,11676,11676,11676,Female_Cases,2022,21.61146731,21.61146731,21.61146731,Age_Standardized,2022,12.52049486,12.52049486,12.52049486,Male_Age_Standardized,2022,29.251428,29.251428,29.251428,Female_Age_Standardized
2,2023,15209.6,13853.99763,16565.20237,Total_Cases,2023,4229,3857.310114,4600.689886,Male_Cases,2023,10980.6,9965.47387,11995.72613,Female_Cases,2023,23.04271327,21.31205904,24.7733675,Age_Standardized,2023,14.29199229,13.24041107,15.3435735,Male_Age_Standardized,2023,30.45864087,27.90175975,33.01552199,Female_Age_Standardized
3,2024,15209.6,13853.99763,16565.20237,Total_Cases,2024,4229,3857.310114,4600.689886,Male_Cases,2024,10980.6,9965.47387,11995.72613,Female_Cases,2024,20.88521629,18.70012396,23.07030862,Age_Standardized,2024,12.54849318,11.1956324,13.90135395,Male_Age_Standardized,2024,28.12846382,24.99032279,31.26660485,Female_Age_Standardized
4,2025,15209.6,13853.99763,16565.20237,Total_Cases,2025,4229,3857.310114,4600.689886,Male_Cases,2025,10980.6,9965.47387,11995.72613,Female_Cases,2025,22.54818677,20.13326844,24.96310511,Age_Standardized,2025,13.95963575,12.4414847,15.47778681,Male_Age_Standardized,2025,29.78656594,26.39185389,33.181278,Female_Age_Standardized
5,2026,15209.6,13853.99763,16565.20237,Total_Cases,2026,4229,3857.310114,4600.689886,Male_Cases,2026,10980.6,9965.47387,11995.72613,Female_Cases,2026,21.26639085,18.72475211,23.80802959,Age_Standardized,2026,12.81749386,11.20019552,14.43479221,Male_Age_Standardized,2026,28.60669737,25.08920226,32.12419249,Female_Age_Standardized
6,2027,15209.6,13853.99763,16565.20237,Total_Cases,2027,4229,3857.310114,4600.689886,Male_Cases,2027,10980.6,9965.47387,11995.72613,Female_Cases,2027,22.2543824,19.64036485,24.86839995,Age_Standardized,2027,13.74191364,12.0628361,15.42099118,Male_Age_Standardized,2027,29.44626559,25.86820661,33.02432457,Female_Age_Standardized
7,2028,15209.6,13853.99763,16565.20237,Total_Cases,2028,4229,3857.310114,4600.689886,Male_Cases,2028,10980.6,9965.47387,11995.72613,Female_Cases,2028,21.49285142,18.83676654,24.14893631,Age_Standardized,2028,12.99371245,11.2753679,14.712057,Male_Age_Standardized,2028,28.84884753,25.24051011,32.45718495,Female_Age_Standardized
8,2029,15209.6,13853.99763,16565.20237,Total_Cases,2029,4229,3857.310114,4600.689886,Male_Cases,2029,10980.6,9965.47387,11995.72613,Female_Cases,2029,22.07982955,19.39906452,24.76059459,Age_Standardized,2029,13.59928692,11.85569845,15.3428754,Male_Age_Standardized,2029,29.27395692,25.65038472,32.89752913,Female_Age_Standardized
9,2030,15209.6,13853.99763,16565.20237,Total_Cases,2030,4229,3857.310114,4600.689886,Male_Cases,2030,10980.6,9965.47387,11995.72613,Female_Cases,2030,21.62739448,18.93207367,24.32271528,Age_Standardized,2030,13.10915078,11.34922164,14.86907992,Male_Age_Standardized,2030,28.97145854,25.34019669,32.6027204,Female_Age_Standardized
10,2031,15209.6,13853.99763,16565.20237,Total_Cases,2031,4229,3857.310114,4600.689886,Male_Cases,2031,10980.6,9965.47387,11995.72613,Female_Cases,2031,21.97612552,19.27219406,24.68005699,Age_Standardized,2031,13.50585415,11.73530223,15.27640608,Male_Age_Standardized,2031,29.18670966,25.55156041,32.82185891,Female_Age_Standardized
11,2032,15209.6,13853.99763,16565.20237,Total_Cases,2032,4229,3857.310114,4600.689886,Male_Cases,2032,10980.6,9965.47387,11995.72613,Female_Cases,2032,21.70732819,18.99829398,24.4163624,Age_Standardized,2032,13.18477282,11.40729648,14.96224917,Male_Age_Standardized,2032,29.03354176,25.39642573,32.67065778,Female_Age_Standardized
