"","Total_Cases.year","Total_Cases.rate_forecast","Total_Cases.lower_PI","Total_Cases.upper_PI","Total_Cases.Metric","Male_Cases.year","Male_Cases.rate_forecast","Male_Cases.lower_PI","Male_Cases.upper_PI","Male_Cases.Metric","Female_Cases.year","Female_Cases.rate_forecast","Female_Cases.lower_PI","Female_Cases.upper_PI","Female_Cases.Metric","Age_Standardized.year","Age_Standardized.rate_forecast","Age_Standardized.lower_PI","Age_Standardized.upper_PI","Age_Standardized.Metric","Male_Age_Standardized.year","Male_Age_Standardized.rate_forecast","Male_Age_Standardized.lower_PI","Male_Age_Standardized.upper_PI","Male_Age_Standardized.Metric","Female_Age_Standardized.year","Female_Age_Standardized.rate_forecast","Female_Age_Standardized.lower_PI","Female_Age_Standardized.upper_PI","Female_Age_Standardized.Metric"
"1",2022,15876,15876,15876,"Total_Cases",2022,4200,4200,4200,"Male_Cases",2022,11676,11676,11676,"Female_Cases",2022,21.6114673091845,21.6114673091845,21.6114673091845,"Age_Standardized",2022,12.5204948576539,12.5204948576539,12.5204948576539,"Male_Age_Standardized",2022,29.2514279987975,29.2514279987975,29.2514279987975,"Female_Age_Standardized"
"2",2023,16981.6424213201,12258.5605613753,21704.7242812649,"Total_Cases",2023,4579.78210504284,3345.82066788374,5813.74354220193,"Male_Cases",2023,12404.6660295413,8885.63077397195,15923.7012851106,"Female_Cases",2023,23.1507109322819,17.1905275935482,29.1108942710155,"Age_Standardized",2023,14.0461567974188,10.5670458433236,17.5252677515139,"Male_Age_Standardized",2023,31.1604533543869,22.9913671818752,39.3295395268985,"Female_Age_Standardized"
"3",2024,16981.6424213201,12021.8529542808,21941.4318883595,"Total_Cases",2024,4579.78210504284,3290.55119749753,5869.01301258814,"Male_Cases",2024,12404.6660295413,8704.47461676892,16104.8574423137,"Female_Cases",2024,23.1507109322819,17.1905275935482,29.1108942710155,"Age_Standardized",2024,14.0461567974188,10.5670458433236,17.5252677515139,"Male_Age_Standardized",2024,31.1604533543869,22.9913671818752,39.3295395268985,"Female_Age_Standardized"
"4",2025,16981.6424213201,11795.9389146617,22167.3459279785,"Total_Cases",2025,4579.78210504284,3237.55565710478,5922.0085529809,"Male_Cases",2025,12404.6660295413,8531.7828848584,16277.5491742242,"Female_Cases",2025,23.1507109322819,17.1905275935482,29.1108942710155,"Age_Standardized",2025,14.0461567974188,10.5670458433236,17.5252677515139,"Male_Age_Standardized",2025,31.1604533543869,22.9913671818752,39.3295395268985,"Female_Age_Standardized"
"5",2026,16981.6424213201,11579.4641420901,22383.8207005501,"Total_Cases",2026,4579.78210504284,3186.57453180805,5972.98967827762,"Male_Cases",2026,12404.6660295413,8366.46949970483,16442.8625593778,"Female_Cases",2026,23.1507109322819,17.1905275935482,29.1108942710155,"Age_Standardized",2026,14.0461567974188,10.5670458433236,17.5252677515139,"Male_Age_Standardized",2026,31.1604533543869,22.9913671818752,39.3295395268985,"Female_Age_Standardized"
"6",2027,16981.6424213201,11371.3358822619,22591.9489603783,"Total_Cases",2027,4579.78210504284,3137.39420759877,6022.1700024869,"Male_Cases",2027,12404.6660295413,8207.66250621686,16601.6695528657,"Female_Cases",2027,23.1507109322819,17.1905275935482,29.1108942710155,"Age_Standardized",2027,14.0461567974188,10.5670458433236,17.5252677515139,"Male_Age_Standardized",2027,31.1604533543869,22.9913671818752,39.3295395268985,"Female_Age_Standardized"
"7",2028,16981.6424213201,11170.6572411795,22792.6276014607,"Total_Cases",2028,4579.78210504284,3089.8363505714,6069.72785951427,"Male_Cases",2028,12404.6660295413,8054.64925531937,16754.6828037632,"Female_Cases",2028,23.1507109322819,17.1905275935482,29.1108942710155,"Age_Standardized",2028,14.0461567974188,10.5670458433236,17.5252677515139,"Male_Age_Standardized",2028,31.1604533543869,22.9913671818752,39.3295395268985,"Female_Age_Standardized"
"8",2029,16981.6424213201,10976.6813002612,22986.603542379,"Total_Cases",2029,4579.78210504284,3043.75025125797,6115.81395882771,"Male_Cases",2029,12404.6660295413,7906.83840976455,16902.493649318,"Female_Cases",2029,23.1507109322819,17.1905275935482,29.1108942710155,"Age_Standardized",2029,14.0461567974188,10.5670458433236,17.5252677515139,"Male_Age_Standardized",2029,31.1604533543869,22.9913671818752,39.3295395268985,"Female_Age_Standardized"
"9",2030,16981.6424213201,10788.7781916568,23174.5066509835,"Total_Cases",2030,4579.78210504284,2999.00718102104,6160.55702906463,"Male_Cases",2030,12404.6660295413,7763.73286276966,17045.5991963129,"Female_Cases",2030,23.1507109322819,17.1905275935482,29.1108942710155,"Age_Standardized",2030,14.0461567974188,10.5670458433236,17.5252677515139,"Male_Age_Standardized",2030,31.1604533543869,22.9913671818752,39.3295395268985,"Female_Age_Standardized"
"10",2031,16981.6424213201,10606.4109220992,23356.873920541,"Total_Cases",2031,4579.78210504284,2955.49614961797,6204.0680604677,"Male_Cases",2031,12404.6660295413,7624.90996676409,17184.4220923185,"Female_Cases",2031,23.1507109322819,17.1905275935482,29.1108942710155,"Age_Standardized",2031,14.0461567974188,10.5670458433236,17.5252677515139,"Male_Age_Standardized",2031,31.1604533543869,22.9913671818752,39.3295395268985,"Female_Age_Standardized"
