"","Total_Cases.year","Total_Cases.rate_forecast","Total_Cases.lower_PI","Total_Cases.upper_PI","Total_Cases.Metric","less75_Cases.year","less75_Cases.rate_forecast","less75_Cases.lower_PI","less75_Cases.upper_PI","less75_Cases.Metric","plus75_Cases.year","plus75_Cases.rate_forecast","plus75_Cases.lower_PI","plus75_Cases.upper_PI","plus75_Cases.Metric","Age_Standardized.year","Age_Standardized.rate_forecast","Age_Standardized.lower_PI","Age_Standardized.upper_PI","Age_Standardized.Metric","less75_Age_Standardized.year","less75_Age_Standardized.rate_forecast","less75_Age_Standardized.lower_PI","less75_Age_Standardized.upper_PI","less75_Age_Standardized.Metric","plus75_Age_Standardized.year","plus75_Age_Standardized.rate_forecast","plus75_Age_Standardized.lower_PI","plus75_Age_Standardized.upper_PI","plus75_Age_Standardized.Metric"
"1",2022,2091,2091,2091,"Total_Cases",2022,1321,1321,1321,"less75_Cases",2022,770,770,770,"plus75_Cases",2022,6.23341779698912,6.23341779698912,6.23341779698912,"Age_Standardized",2022,4.28353707967184,4.28353707967184,4.28353707967184,"less75_Age_Standardized",2022,28.4552845528455,28.4552845528455,28.4552845528455,"plus75_Age_Standardized"
"2",2023,2161.73684210538,1931.84749187975,2391.62619233101,"Total_Cases",2023,1367.68421052632,1234.71104555466,1500.65737549797,"less75_Cases",2023,869.419905042423,753.643299864432,985.196510220415,"plus75_Cases",2023,6.15548159286548,5.20295939142867,7.10800379430228,"Age_Standardized",2023,4.28353707967184,3.61714437459553,5.07270045447808,"less75_Age_Standardized",2023,31.0631087471696,26.629010084678,36.2355461945499,"plus75_Age_Standardized"
"3",2024,2232.47368421076,1907.36104727654,2557.58632114499,"Total_Cases",2024,1414.36842105263,1226.31596771804,1602.42087438722,"less75_Cases",2024,836.780129647387,691.89278742285,981.667471871924,"plus75_Cases",2024,6.09038049402358,4.84926663296673,7.33149435508043,"Age_Standardized",2024,4.28353707967184,3.3724643830903,5.44073645519425,"less75_Age_Standardized",2024,28.493394415907,24.2479831210628,33.4821053481851,"plus75_Age_Standardized"
"4",2025,2303.21052631615,1905.03049160636,2701.39056102594,"Total_Cases",2025,1461.05263157895,1230.7363538048,1691.36890935309,"less75_Cases",2025,911.763524509865,704.205099451649,1119.32194956808,"plus75_Cases",2025,6.03600072125842,4.62813601381601,7.44386542870084,"Age_Standardized",2025,4.28353707967184,3.19599769492994,5.74114616604122,"less75_Age_Standardized",2025,30.522016794298,24.9102669416435,37.3979737500936,"plus75_Age_Standardized"
"5",2026,2373.94736842153,1914.16866797027,2833.72606887279,"Total_Cases",2026,1507.73684210526,1241.79051216195,1773.68317204858,"less75_Cases",2026,898.033171266642,658.323515562335,1137.74282697095,"plus75_Cases",2026,5.99057660801616,4.4772056859865,7.50394753004582,"Age_Standardized",2026,4.28353707967184,3.05442282471626,6.00725274983108,"less75_Age_Standardized",2026,28.785975948217,23.3225753831699,35.5291985416538,"plus75_Age_Standardized"
"6",2027,2444.68421052691,1930.63599611915,2958.73242493468,"Total_Cases",2027,1554.42105263158,1257.08401657166,1851.7580886915,"less75_Cases",2027,956.849770622859,670.884646329582,1242.81489491614,"plus75_Cases",2027,5.95263327065143,4.36980567651344,7.53546086478942,"Age_Standardized",2027,4.28353707967184,2.93489863461664,6.25189902523509,"less75_Age_Standardized",2027,30.6657141764054,24.5951391792861,38.2346291718071,"plus75_Age_Standardized"
"7",2028,2515.4210526323,1952.30944727952,3078.53265798507,"Total_Cases",2028,1601.10526315789,1275.38885949441,1926.82166682138,"less75_Cases",2028,956.009490105076,640.406537126176,1271.61244308398,"plus75_Cases",2028,5.92093872016685,4.2914004761901,7.55047696414361,"Age_Standardized",2028,4.28353707967184,2.83087125652745,6.48164054462563,"less75_Age_Standardized",2028,29.4424048862973,23.5887204516386,36.748716712544,"plus75_Age_Standardized"
"8",2029,2586.15789473768,1977.92784497843,3194.38794449693,"Total_Cases",2029,1647.78947368421,1295.97554812404,1999.60339924438,"less75_Cases",2029,1004.03633500041,651.982937033852,1356.08973296698,"plus75_Cases",2029,5.89446386054227,4.23311108404559,7.55581663703896,"Age_Standardized",2029,4.28353707967184,2.73846578682172,6.70035389933398,"less75_Age_Standardized",2029,30.982613113932,24.7916077330388,38.7196476204461,"plus75_Age_Standardized"
"9",2030,2656.89473684306,2006.66946297461,3307.12001071151,"Total_Cases",2030,1694.47368421053,1318.36877754134,2070.57859087971,"less75_Cases",2030,1011.92575754544,633.092044418342,1390.75947067254,"plus75_Cases",2030,5.87234907483228,4.18915392819661,7.55554422146795,"Age_Standardized",2030,4.28353707967184,2.6551692686839,6.91055373732108,"less75_Age_Standardized",2030,29.900909693347,23.59399004863,37.8937347454551,"plus75_Age_Standardized"
"10",2031,2727.63157894844,2037.96352827155,3417.29962962534,"Total_Cases",2031,1741.15789473684,1342.23839982187,2140.07738965181,"less75_Cases",2031,1052.72009059899,643.610275818384,1461.82990537959,"plus75_Cases",2031,5.85387631411006,4.15560709810162,7.5521455301185,"Age_Standardized",2031,4.28353707967184,2.57924423964716,7.11397921564562,"less75_Age_Standardized",2031,30.9372844564547,24.2761466764439,39.4261734490309,"plus75_Age_Standardized"
