"Year","Cost_Type","Cost","Type","lower_PI","upper_PI"
2003,"AE_Cost",3295170,"Historical",NA,NA
2003,"IP_Total",113578380,"Historical",NA,NA
2003,"OP_Total",27791135,"Historical",NA,NA
2004,"AE_Cost",4218900,"Historical",NA,NA
2004,"IP_Total",154755180,"Historical",NA,NA
2004,"OP_Total",34773660,"Historical",NA,NA
2005,"AE_Cost",4905240,"Historical",NA,NA
2005,"IP_Total",172920200,"Historical",NA,NA
2005,"OP_Total",39550585,"Historical",NA,NA
2006,"AE_Cost",5232420,"Historical",NA,NA
2006,"IP_Total",185129960,"Historical",NA,NA
2006,"OP_Total",45131000,"Historical",NA,NA
2007,"AE_Cost",5862180,"Historical",NA,NA
2007,"IP_Total",199744380,"Historical",NA,NA
2007,"OP_Total",51758080,"Historical",NA,NA
2008,"AE_Cost",6908910,"Historical",NA,NA
2008,"IP_Total",213262130,"Historical",NA,NA
2008,"OP_Total",62118950,"Historical",NA,NA
2009,"AE_Cost",7892910,"Historical",NA,NA
2009,"IP_Total",255934740,"Historical",NA,NA
2009,"OP_Total",74618780,"Historical",NA,NA
2010,"AE_Cost",9226230,"Historical",NA,NA
2010,"IP_Total",292941990,"Historical",NA,NA
2010,"OP_Total",86560750,"Historical",NA,NA
2011,"AE_Cost",9724380,"Historical",NA,NA
2011,"IP_Total",286253540,"Historical",NA,NA
2011,"OP_Total",100824510,"Historical",NA,NA
2012,"AE_Cost",11296320,"Historical",NA,NA
2012,"IP_Total",330303250,"Historical",NA,NA
2012,"OP_Total",114279770,"Historical",NA,NA
2013,"AE_Cost",11548470,"Historical",NA,NA
2013,"IP_Total",340970640,"Historical",NA,NA
2013,"OP_Total",123508825,"Historical",NA,NA
2014,"AE_Cost",11853510,"Historical",NA,NA
2014,"IP_Total",391523210,"Historical",NA,NA
2014,"OP_Total",128641780,"Historical",NA,NA
2015,"AE_Cost",12484500,"Historical",NA,NA
2015,"IP_Total",399736610,"Historical",NA,NA
2015,"OP_Total",137468620,"Historical",NA,NA
2016,"AE_Cost",12836280,"Historical",NA,NA
2016,"IP_Total",421887640,"Historical",NA,NA
2016,"OP_Total",142535845,"Historical",NA,NA
2017,"AE_Cost",13870710,"Historical",NA,NA
2017,"IP_Total",471730740,"Historical",NA,NA
2017,"OP_Total",155431965,"Historical",NA,NA
2018,"AE_Cost",13729260,"Historical",NA,NA
2018,"IP_Total",462249610,"Historical",NA,NA
2018,"OP_Total",166491955,"Historical",NA,NA
2019,"AE_Cost",14816580,"Historical",NA,NA
2019,"IP_Total",484021710,"Historical",NA,NA
2019,"OP_Total",174404060,"Historical",NA,NA
2020,"AE_Cost",12800610,"Historical",NA,NA
2020,"IP_Total",444019930,"Historical",NA,NA
2020,"OP_Total",138640350,"Historical",NA,NA
2021,"AE_Cost",14774760,"Historical",NA,NA
2021,"IP_Total",529271060,"Historical",NA,NA
2021,"OP_Total",163992065,"Historical",NA,NA
2022,"AE_Cost",14367630,"Historical",NA,NA
2022,"IP_Total",526617950,"Historical",NA,NA
2022,"OP_Total",161057770,"Historical",NA,NA
2023,"AE_Cost",15838448.5534402,"Forecast",14474042.5349619,17202854.5719186
2024,"AE_Cost",15767346.0970519,"Forecast",14159514.2243102,17375177.9697935
2025,"AE_Cost",16935187.7965959,"Forecast",14720981.4423823,19149394.1508095
2026,"AE_Cost",17095969.8999891,"Forecast",14628330.0401816,19563609.7597965
2027,"AE_Cost",18070284.3652269,"Forecast",15188802.1907704,20951766.5396834
2028,"AE_Cost",18385228.7096265,"Forecast",15269236.1640023,21501221.2552507
2029,"AE_Cost",19233650.5966142,"Forecast",15801285.0096011,22666016.1836272
2030,"AE_Cost",19650042.8994848,"Forecast",16001205.6208934,23298880.1780763
2031,"AE_Cost",20416131.7005091,"Forecast",16506962.0583718,24325301.3426464
2032,"AE_Cost",20899090.103783,"Forecast",16788743.8968118,25009436.3107542
2023,"IP_Total",563033270.008017,"Forecast",518376220.531025,607690319.485009
2024,"IP_Total",576200288.333305,"Forecast",528020911.446976,624379665.219635
2025,"IP_Total",603201584.898601,"Forecast",544293038.401957,662110131.395245
2026,"IP_Total",621970570.259671,"Forecast",558175557.888052,685765582.631291
2027,"IP_Total",645638325.660455,"Forecast",575104857.856775,716171793.464136
2028,"IP_Total",666390988.651992,"Forecast",590953987.790394,741827989.513591
2029,"IP_Total",688878324.568684,"Forecast",608153238.06137,769603411.075998
2030,"IP_Total",710333415.281855,"Forecast",625034428.769714,795632401.793996
2031,"IP_Total",732402760.212487,"Forecast",642544627.423496,822260893.001477
2032,"IP_Total",754106583.227995,"Forecast",660034207.529132,848178958.926858
2023,"OP_Total",171625950.710028,"Forecast",149358325.870947,193893575.54911
2024,"OP_Total",177618429.245887,"Forecast",150924373.399418,204312485.092355
2025,"OP_Total",185161516.043247,"Forecast",153363259.620468,216959772.466027
2026,"OP_Total",192179134.641604,"Forecast",156395202.818362,227963066.464846
2027,"OP_Total",199374823.24966,"Forecast",159883355.257394,238866291.241925
2028,"OP_Total",206510167.714313,"Forecast",163669215.45232,249351119.976306
2029,"OP_Total",213665961.527225,"Forecast",167706854.24143,259625068.813021
2030,"OP_Total",220814825.490435,"Forecast",171939968.080394,269689682.900476
2031,"OP_Total",227966037.832493,"Forecast",176338597.007266,279593478.657719
2032,"OP_Total",235116454.358847,"Forecast",180876340.518102,289356568.199592
