"Year","Cost_Type","Cost","Type","lower_PI","upper_PI"
2003,"AE_Cost",3295170,"Historical",NA,NA
2003,"IP_Total",129092700,"Historical",NA,NA
2003,"OP_Total",27791135,"Historical",NA,NA
2004,"AE_Cost",4218900,"Historical",NA,NA
2004,"IP_Total",162108240,"Historical",NA,NA
2004,"OP_Total",34773660,"Historical",NA,NA
2005,"AE_Cost",4905240,"Historical",NA,NA
2005,"IP_Total",187850800,"Historical",NA,NA
2005,"OP_Total",39550585,"Historical",NA,NA
2006,"AE_Cost",5232420,"Historical",NA,NA
2006,"IP_Total",194265320,"Historical",NA,NA
2006,"OP_Total",45131000,"Historical",NA,NA
2007,"AE_Cost",5862180,"Historical",NA,NA
2007,"IP_Total",213095250,"Historical",NA,NA
2007,"OP_Total",51758080,"Historical",NA,NA
2008,"AE_Cost",6908910,"Historical",NA,NA
2008,"IP_Total",230034150,"Historical",NA,NA
2008,"OP_Total",62118950,"Historical",NA,NA
2009,"AE_Cost",7892910,"Historical",NA,NA
2009,"IP_Total",267939700,"Historical",NA,NA
2009,"OP_Total",74618780,"Historical",NA,NA
2010,"AE_Cost",9226230,"Historical",NA,NA
2010,"IP_Total",293905500,"Historical",NA,NA
2010,"OP_Total",86560750,"Historical",NA,NA
2011,"AE_Cost",9724380,"Historical",NA,NA
2011,"IP_Total",294317820,"Historical",NA,NA
2011,"OP_Total",100824510,"Historical",NA,NA
2012,"AE_Cost",11296320,"Historical",NA,NA
2012,"IP_Total",334914430,"Historical",NA,NA
2012,"OP_Total",114279770,"Historical",NA,NA
2013,"AE_Cost",11548470,"Historical",NA,NA
2013,"IP_Total",348552530,"Historical",NA,NA
2013,"OP_Total",123508825,"Historical",NA,NA
2014,"AE_Cost",11853510,"Historical",NA,NA
2014,"IP_Total",375274910,"Historical",NA,NA
2014,"OP_Total",128641780,"Historical",NA,NA
2015,"AE_Cost",12484500,"Historical",NA,NA
2015,"IP_Total",388531930,"Historical",NA,NA
2015,"OP_Total",137468620,"Historical",NA,NA
2016,"AE_Cost",12836280,"Historical",NA,NA
2016,"IP_Total",407403720,"Historical",NA,NA
2016,"OP_Total",142535845,"Historical",NA,NA
2017,"AE_Cost",13870710,"Historical",NA,NA
2017,"IP_Total",449514750,"Historical",NA,NA
2017,"OP_Total",155431965,"Historical",NA,NA
2018,"AE_Cost",13729260,"Historical",NA,NA
2018,"IP_Total",446301610,"Historical",NA,NA
2018,"OP_Total",166491955,"Historical",NA,NA
2019,"AE_Cost",14816580,"Historical",NA,NA
2019,"IP_Total",494379610,"Historical",NA,NA
2019,"OP_Total",174404060,"Historical",NA,NA
2020,"AE_Cost",12800610,"Historical",NA,NA
2020,"IP_Total",432844450,"Historical",NA,NA
2020,"OP_Total",138640350,"Historical",NA,NA
2021,"AE_Cost",14774760,"Historical",NA,NA
2021,"IP_Total",516441300,"Historical",NA,NA
2021,"OP_Total",163992065,"Historical",NA,NA
2022,"AE_Cost",14367630,"Historical",NA,NA
2022,"IP_Total",505437430,"Historical",NA,NA
2022,"OP_Total",161057770,"Historical",NA,NA
2023,"AE_Cost",17885815.627501,"Forecast",16948752.7281085,18822878.5268935
2024,"AE_Cost",17718186.0127472,"Forecast",16647370.4225135,18789001.6029809
2025,"AE_Cost",19197101.3047155,"Forecast",17684357.0810546,20709845.5283763
2026,"AE_Cost",19218575.6782795,"Forecast",17568014.6846313,20869136.6719277
2027,"AE_Cost",20529482.2615543,"Forecast",18570033.2353619,22488931.2877467
2028,"AE_Cost",20699325.1110535,"Forecast",18611464.2063058,22787186.0158012
2029,"AE_Cost",21878815.765765,"Forecast",19553357.7876492,24204273.7438808
2030,"AE_Cost",22164887.1052342,"Forecast",19718789.8645412,24610984.3459273
2031,"AE_Cost",23241506.3370906,"Forecast",20600885.5858124,25882127.0883688
2032,"AE_Cost",23618594.0933001,"Forecast",20863351.7434861,26373836.4431141
2023,"IP_Total",633266108.7556,"Forecast",593750465.305654,672781752.205545
2024,"IP_Total",624229661.480428,"Forecast",568109295.806161,680350027.154696
2025,"IP_Total",688443848.945622,"Forecast",595148877.172941,781738820.718302
2026,"IP_Total",681057304.710538,"Forecast",561281765.782545,800832843.638531
2027,"IP_Total",737343737.458565,"Forecast",577696960.030986,896990514.886144
2028,"IP_Total",731337961.001625,"Forecast",539526609.771064,923149312.232185
2029,"IP_Total",780679348.793252,"Forecast",547247485.227586,1014111212.35892
2030,"IP_Total",775826480.903416,"Forecast",506697370.432496,1044955591.37434
2031,"IP_Total",819083239.082834,"Forecast",507310571.660834,1130855906.50483
2032,"IP_Total",815190606.627617,"Forecast",465495194.612404,1164886018.64283
2023,"OP_Total",215471713.325162,"Forecast",204468313.466251,226475113.184072
2024,"OP_Total",222595072.699504,"Forecast",209902700.943601,235287444.455407
2025,"OP_Total",232879144.334252,"Forecast",217705992.615585,248052296.052918
2026,"OP_Total",241819711.98074,"Forecast",224907745.150602,258731678.810878
2027,"OP_Total",251331354.378031,"Forecast",232695374.425276,269967334.330786
2028,"OP_Total",260600253.639571,"Forecast",240445412.980804,280755094.298338
2029,"OP_Total",269972334.191951,"Forecast",248382151.240131,291562517.143771
2030,"OP_Total",279300556.125028,"Forecast",256373976.066077,302227136.183978
2031,"OP_Total",288647420.764273,"Forecast",264454422.280724,312840419.247821
2032,"OP_Total",297986361.066208,"Forecast",272591532.940334,323381189.192083
