"Year","Cost_Type","Cost","Type","lower_PI","upper_PI"
2003,"AE_Cost",429270,"Historical",NA,NA
2003,"IP_Total",12232880.5072612,"Historical",NA,NA
2003,"OP_Total",5380150,"Historical",NA,NA
2004,"AE_Cost",554730,"Historical",NA,NA
2004,"IP_Total",17483040.0372793,"Historical",NA,NA
2004,"OP_Total",6254230,"Historical",NA,NA
2005,"AE_Cost",619920,"Historical",NA,NA
2005,"IP_Total",18850653.8913538,"Historical",NA,NA
2005,"OP_Total",7008900,"Historical",NA,NA
2006,"AE_Cost",664200,"Historical",NA,NA
2006,"IP_Total",20004815.6700116,"Historical",NA,NA
2006,"OP_Total",7477990,"Historical",NA,NA
2007,"AE_Cost",726930,"Historical",NA,NA
2007,"IP_Total",21857820.1734302,"Historical",NA,NA
2007,"OP_Total",8002325,"Historical",NA,NA
2008,"AE_Cost",730620,"Historical",NA,NA
2008,"IP_Total",23629404.2287327,"Historical",NA,NA
2008,"OP_Total",8512180,"Historical",NA,NA
2009,"AE_Cost",810570,"Historical",NA,NA
2009,"IP_Total",22117745.2621458,"Historical",NA,NA
2009,"OP_Total",10205230,"Historical",NA,NA
2010,"AE_Cost",906510,"Historical",NA,NA
2010,"IP_Total",24320035.1623823,"Historical",NA,NA
2010,"OP_Total",11175210,"Historical",NA,NA
2011,"AE_Cost",938490,"Historical",NA,NA
2011,"IP_Total",22252698.2711481,"Historical",NA,NA
2011,"OP_Total",11985525,"Historical",NA,NA
2012,"AE_Cost",1038120,"Historical",NA,NA
2012,"IP_Total",27185166.3855386,"Historical",NA,NA
2012,"OP_Total",12631525,"Historical",NA,NA
2013,"AE_Cost",1116840,"Historical",NA,NA
2013,"IP_Total",27622447.0846443,"Historical",NA,NA
2013,"OP_Total",13214335,"Historical",NA,NA
2014,"AE_Cost",1322250,"Historical",NA,NA
2014,"IP_Total",34765711.6287879,"Historical",NA,NA
2014,"OP_Total",14557675,"Historical",NA,NA
2015,"AE_Cost",1132830,"Historical",NA,NA
2015,"IP_Total",30256075.4402585,"Historical",NA,NA
2015,"OP_Total",15102270,"Historical",NA,NA
2016,"AE_Cost",1231230,"Historical",NA,NA
2016,"IP_Total",40138218.8719294,"Historical",NA,NA
2016,"OP_Total",15744545,"Historical",NA,NA
2017,"AE_Cost",1448940,"Historical",NA,NA
2017,"IP_Total",49404002.3455449,"Historical",NA,NA
2017,"OP_Total",17448815,"Historical",NA,NA
2018,"AE_Cost",1430490,"Historical",NA,NA
2018,"IP_Total",50084212.9718036,"Historical",NA,NA
2018,"OP_Total",19081885,"Historical",NA,NA
2019,"AE_Cost",1592850,"Historical",NA,NA
2019,"IP_Total",51248034.671527,"Historical",NA,NA
2019,"OP_Total",19656825,"Historical",NA,NA
2020,"AE_Cost",1306260,"Historical",NA,NA
2020,"IP_Total",51092361.7830339,"Historical",NA,NA
