"","Total_Cases.year","Total_Cases.rate_forecast","Total_Cases.lower_PI","Total_Cases.upper_PI","Total_Cases.Metric","Male_Cases.year","Male_Cases.rate_forecast","Male_Cases.lower_PI","Male_Cases.upper_PI","Male_Cases.Metric","Female_Cases.year","Female_Cases.rate_forecast","Female_Cases.lower_PI","Female_Cases.upper_PI","Female_Cases.Metric","Age_Standardized.year","Age_Standardized.rate_forecast","Age_Standardized.lower_PI","Age_Standardized.upper_PI","Age_Standardized.Metric","Male_Age_Standardized.year","Male_Age_Standardized.rate_forecast","Male_Age_Standardized.lower_PI","Male_Age_Standardized.upper_PI","Male_Age_Standardized.Metric","Female_Age_Standardized.year","Female_Age_Standardized.rate_forecast","Female_Age_Standardized.lower_PI","Female_Age_Standardized.upper_PI","Female_Age_Standardized.Metric"
"1",2022,212,212,212,"Total_Cases",2022,105,105,105,"Male_Cases",2022,107,107,107,"Female_Cases",2022,0.283143436653462,0.283143436653462,0.283143436653462,"Age_Standardized",2022,0.307050231032941,0.307050231032941,0.307050231032941,"Male_Age_Standardized",2022,0.263052410061128,0.263052410061128,0.263052410061128,"Female_Age_Standardized"
"2",2023,281.184859127632,223.673912736362,353.48299690102,"Total_Cases",2023,130.068114927392,86.4920881842546,173.644141670529,"Male_Cases",2023,112.996254711892,92.2951494339458,133.697359989838,"Female_Cases",2023,0.379502824361567,0.305801276559251,0.470967274299461,"Age_Standardized",2023,0.433193513231487,0.317732905887927,0.548654120575047,"Male_Age_Standardized",2023,0.277425400432136,0.224980494700401,0.329870306163871,"Female_Age_Standardized"
"3",2024,245.589435929034,194.44819208048,310.181187053555,"Total_Cases",2024,115.786060699825,68.3475485614611,163.22457283819,"Male_Cases",2024,127.891445188686,106.904668774554,148.878221602818,"Female_Cases",2024,0.318111175828469,0.255767479080227,0.395651239754483,"Age_Standardized",2024,0.398014541235254,0.281859082266687,0.51417000020382,"Male_Age_Standardized",2024,0.313510053828658,0.260470953707897,0.366549153949419,"Female_Age_Standardized"
"4",2025,299.235564311175,221.200345166033,404.800104997201,"Total_Cases",2025,123.922973808368,66.195848881317,181.650098735419,"Male_Cases",2025,120.010909145142,95.8864911851117,144.135327105173,"Female_Cases",2025,0.398636817486654,0.298614736623365,0.532161654353711,"Age_Standardized",2025,0.401059720410601,0.266643016964018,0.535476423857185,"Male_Age_Standardized",2025,0.291964209295085,0.231857000407862,0.352071418182308,"Female_Age_Standardized"
"5",2026,279.639333852888,204.77858565521,381.866867511971,"Total_Cases",2026,119.287131241115,56.4443309114717,182.129931570758,"Male_Cases",2026,133.187496344031,107.453092935217,158.921899752845,"Female_Cases",2026,0.353969372314694,0.263848325494529,0.4748725098104,"Age_Standardized",2026,0.448162771043971,0.305704902337228,0.590620639750713,"Male_Age_Standardized",2026,0.322972074365396,0.257903826004548,0.388040322726243,"Female_Age_Standardized"
"6",2027,322.84894810036,226.575794454529,460.029031523166,"Total_Cases",2027,121.928309292506,52.5370983785939,191.319520206417,"Male_Cases",2027,135.912638023122,110.018202024441,161.807074021803,"Female_Cases",2027,0.422207246298998,0.300679460390046,0.592853793857892,"Age_Standardized",2027,0.425875856847571,0.280913721901187,0.570837991793955,"Male_Age_Standardized",2027,0.330060700688066,0.264732757685068,0.395388643691064,"Female_Age_Standardized"
"7",2028,314.944112714769,218.292762705736,454.38883499497,"Total_Cases",2028,120.423551225779,46.0329537084036,194.814148743154,"Male_Cases",2028,137.780702958869,109.326627853634,166.234778064104,"Female_Cases",2028,0.391093325572274,0.276521344332887,0.553136285649794,"Age_Standardized",2028,0.456984478166221,0.299946605240709,0.614022351091733,"Male_Age_Standardized",2028,0.331332846710711,0.259472942841302,0.40319275058012,"Female_Age_Standardized"
"8",2029,351.377070461217,236.163583078412,522.797986194649,"Total_Cases",2029,121.280856865657,41.6886909876983,200.873022743615,"Male_Cases",2029,147.126334240941,118.208389419949,176.044279061932,"Female_Cases",2029,0.449889429242267,0.30765806854218,0.657874826761397,"Age_Standardized",2029,0.466029438722748,0.30534170883492,0.626717168610576,"Male_Age_Standardized",2029,0.3544768053957,0.281208160197027,0.427745450594374,"Female_Age_Standardized"
"9",2030,352.249368564653,233.44433989557,531.516924804015,"Total_Cases",2030,120.792424222285,36.5990288657336,204.985819578836,"Male_Cases",2030,148.279063405391,118.43618140044,178.121945410342,"Female_Cases",2030,0.429873251384097,0.291376039531347,0.634201125640787,"Age_Standardized",2030,0.47093793205861,0.303989186299929,0.637886677817291,"Male_Age_Standardized",2030,0.356137927304473,0.280924421978012,0.431351432630933,"Female_Age_Standardized"
"10",2031,384.550045725856,248.701870369372,594.602434827401,"Total_Cases",2031,121.070698895884,32.3636793505867,209.77771844118,"Male_Cases",2031,154.356022807952,123.213559343803,185.4984862721,"Female_Cases",2031,0.481523522251807,0.317937243374717,0.729278835095496,"Age_Standardized",2031,0.4922653051996,0.318843959650011,0.66568665074919,"Male_Age_Standardized",2031,0.368646723902173,0.28975343636307,0.447540011441276,"Female_Age_Standardized"
"11",2032,392.238405499751,249.969408682548,615.479180271902,"Total_Cases",2032,120.912157498176,27.9927249804988,213.831590015852,"Male_Cases",2032,159.765674532221,128.097688846221,191.433660218222,"Female_Cases",2032,0.470701540496517,0.307708224868944,0.720032557856258,"Age_Standardized",2032,0.497587267480399,0.319815751980858,0.67535878297994,"Male_Age_Standardized",2032,0.382301649914295,0.30213104564399,0.4624722541846,"Female_Age_Standardized"
