"","Total_Cases.year","Total_Cases.rate_forecast","Total_Cases.lower_PI","Total_Cases.upper_PI","Total_Cases.Metric","Male_Cases.year","Male_Cases.rate_forecast","Male_Cases.lower_PI","Male_Cases.upper_PI","Male_Cases.Metric","Female_Cases.year","Female_Cases.rate_forecast","Female_Cases.lower_PI","Female_Cases.upper_PI","Female_Cases.Metric","Age_Standardized.year","Age_Standardized.rate_forecast","Age_Standardized.lower_PI","Age_Standardized.upper_PI","Age_Standardized.Metric","Male_Age_Standardized.year","Male_Age_Standardized.rate_forecast","Male_Age_Standardized.lower_PI","Male_Age_Standardized.upper_PI","Male_Age_Standardized.Metric","Female_Age_Standardized.year","Female_Age_Standardized.rate_forecast","Female_Age_Standardized.lower_PI","Female_Age_Standardized.upper_PI","Female_Age_Standardized.Metric"
"1",2022,212,212,212,"Total_Cases",2022,105,105,105,"Male_Cases",2022,107,107,107,"Female_Cases",2022,0.283143436653462,0.283143436653462,0.283143436653462,"Age_Standardized",2022,0.307050231032941,0.307050231032941,0.307050231032941,"Male_Age_Standardized",2022,0.263052410061128,0.263052410061128,0.263052410061128,"Female_Age_Standardized"
"2",2023,271.247906288543,227.579313436361,314.916499140725,"Total_Cases",2023,127.330567645677,88.1952283575418,166.465906933811,"Male_Cases",2023,107.501534879948,85.2194872043612,135.609593306182,"Female_Cases",2023,0.366851501407447,0.30482388326357,0.428879119551323,"Age_Standardized",2023,0.391448999704578,0.274751632514043,0.508146366895112,"Male_Age_Standardized",2023,0.267141208758818,0.212437356744965,0.321845060772671,"Female_Age_Standardized"
"3",2024,239.987395741499,195.133323729495,284.841467753503,"Total_Cases",2024,116.249362059496,72.4286270342327,160.070097084759,"Male_Cases",2024,134.285259597043,106.450304996627,169.398584115062,"Female_Cases",2024,0.314887963663867,0.251836315163267,0.377939612164468,"Age_Standardized",2024,0.339282615123741,0.214364524485011,0.464200705762472,"Male_Age_Standardized",2024,0.300809763051652,0.246030101485481,0.355589424617824,"Female_Age_Standardized"
"4",2025,278.003152108604,220.596650372042,335.409653845167,"Total_Cases",2025,121.748242302559,69.0054683772279,174.491016227891,"Male_Cases",2025,123.197753640958,96.5545934295348,157.192795941445,"Female_Cases",2025,0.373841598518936,0.291617977356269,0.456065219681602,"Age_Standardized",2025,0.371526351887525,0.218058624356657,0.524994079418392,"Male_Age_Standardized",2025,0.284297311453928,0.225052415725628,0.343542207182228,"Female_Age_Standardized"
"5",2026,262.993992944611,203.333045166045,322.654940723176,"Total_Cases",2026,119.019506363821,60.8346586828442,177.204354044799,"Male_Cases",2026,132.748438125354,99.204328641521,177.634868014675,"Female_Cases",2026,0.342115835837595,0.257752070807045,0.426479600868145,"Age_Standardized",2026,0.351596687049795,0.186229946313394,0.516963427786197,"Male_Age_Standardized",2026,0.299420185363227,0.232190246180994,0.36665012454546,"Female_Age_Standardized"
"6",2027,288.570763021933,221.228443666083,355.913082377782,"Total_Cases",2027,120.373600196425,56.2534137365221,184.493786656329,"Male_Cases",2027,150.606053664859,112.472846829957,201.668082917779,"Female_Cases",2027,0.384524248639793,0.288150157643314,0.480898339636272,"Age_Standardized",2027,0.36391509615523,0.18080778901181,0.54702240329865,"Male_Age_Standardized",2027,0.311552533711507,0.243176389844615,0.379928677578399,"Female_Age_Standardized"
"7",2028,283.08255853244,212.900548813296,353.264568251584,"Total_Cases",2028,119.701651664702,50.5984693449361,188.804833984468,"Male_Cases",2028,145.069608441446,106.499055080152,197.609183269426,"Female_Cases",2028,0.366324892489651,0.267022467944631,0.465627317034671,"Age_Standardized",2028,0.356301159637764,0.160940645189028,0.551661674086499,"Male_Age_Standardized",2028,0.309509859898221,0.236425366740863,0.38259435305558,"Female_Age_Standardized"
"8",2029,301.371871593401,225.607759321835,377.135983864966,"Total_Cases",2029,120.035095934526,46.0786487678109,193.99154310124,"Male_Cases",2029,159.079821642396,114.354542582358,221.297633502848,"Female_Cases",2029,0.397674905890343,0.289676636998954,0.505673174781732,"Age_Standardized",2029,0.361007289203345,0.151885860686548,0.570128717720141,"Male_Age_Standardized",2029,0.322503478820937,0.245717683242147,0.399289274399727,"Female_Age_Standardized"
"9",2030,301.461577259026,222.617521867433,380.305632650618,"Total_Cases",2030,119.869629271784,41.4562104036436,198.283048139925,"Male_Cases",2030,171.418358487269,122.852600902458,239.182999876414,"Female_Cases",2030,0.388516250760177,0.277116842213558,0.499915659306796,"Age_Standardized",2030,0.358098458083302,0.13738629738157,0.578810618785034,"Male_Age_Standardized",2030,0.328873580769157,0.24988668406963,0.407860477468683,"Female_Age_Standardized"
"10",2031,315.481488575494,232.15351049646,398.809466654529,"Total_Cases",2031,119.951739594128,37.2759073383586,202.627571849896,"Male_Cases",2031,171.838040130612,121.11969220499,243.794477168538,"Female_Cases",2031,0.412475115409136,0.294214692551135,0.530735538267137,"Age_Standardized",2031,0.35989638956118,0.127403239836456,0.592389539285903,"Male_Age_Standardized",2031,0.333434435405375,0.250735159551614,0.416133711259136,"Female_Age_Standardized"
"11",2032,318.83904738844,232.387547858279,405.290546918601,"Total_Cases",2032,119.910993591739,33.2035258603221,206.618461323155,"Male_Cases",2032,187.570339048447,130.595949894191,269.4006369972,"Female_Cases",2032,0.409359031507633,0.287456519333899,0.531261543681367,"Age_Standardized",2032,0.358785098645433,0.115536093793462,0.602034103497404,"Male_Age_Standardized",2032,0.343270245733279,0.25781203423369,0.428728457232867,"Female_Age_Standardized"
