"","Total_Cases.year","Total_Cases.rate_forecast","Total_Cases.lower_PI","Total_Cases.upper_PI","Total_Cases.Metric","Male_Cases.year","Male_Cases.rate_forecast","Male_Cases.lower_PI","Male_Cases.upper_PI","Male_Cases.Metric","Female_Cases.year","Female_Cases.rate_forecast","Female_Cases.lower_PI","Female_Cases.upper_PI","Female_Cases.Metric","Age_Standardized.year","Age_Standardized.rate_forecast","Age_Standardized.lower_PI","Age_Standardized.upper_PI","Age_Standardized.Metric","Male_Age_Standardized.year","Male_Age_Standardized.rate_forecast","Male_Age_Standardized.lower_PI","Male_Age_Standardized.upper_PI","Male_Age_Standardized.Metric","Female_Age_Standardized.year","Female_Age_Standardized.rate_forecast","Female_Age_Standardized.lower_PI","Female_Age_Standardized.upper_PI","Female_Age_Standardized.Metric"
"1",2022,3570,3570,3570,"Total_Cases",2022,1975,1975,1975,"Male_Cases",2022,1595,1595,1595,"Female_Cases",2022,4.84202502007868,4.84202502007868,4.84202502007868,"Age_Standardized",2022,5.86674616187211,5.86674616187211,5.86674616187211,"Male_Age_Standardized",2022,3.98085980559174,3.98085980559174,3.98085980559174,"Female_Age_Standardized"
"2",2023,3769.77305918725,3725.92957334775,3813.61654502675,"Total_Cases",2023,2072.72316494829,2037.12447185129,2108.32185804528,"Male_Cases",2023,1685.66313612939,1656.47976915616,1715.36064696586,"Female_Cases",2023,5.08285344591616,5.02471633380578,5.14099055802655,"Age_Standardized",2023,6.12741222124987,6.02757528385251,6.22724915864723,"Male_Age_Standardized",2023,4.18390744489054,4.09460528814166,4.27515725584265,"Female_Age_Standardized"
"3",2024,3958.51181572033,3878.90672928625,4038.11690215441,"Total_Cases",2024,2170.44632989657,2106.36550625043,2234.52715354272,"Male_Cases",2024,1799.34898730088,1754.56445083264,1845.27663065568,"Female_Cases",2024,5.30577309915465,5.20282187179841,5.40872432651088,"Age_Standardized",2024,6.38807828062763,6.22029811343278,6.55585844782249,"Male_Age_Standardized",2024,4.39731172718564,4.26516696358331,4.53355064201267,"Female_Age_Standardized"
"4",2025,4152.59705794348,4025.29937416962,4279.89474171734,"Total_Cases",2025,2268.16949484486,2172.55187595834,2363.78711373138,"Male_Cases",2025,1909.04431720354,1845.93617391515,1974.30997698985,"Female_Cases",2025,5.53833739838247,5.37356231344921,5.70311248331573,"Age_Standardized",2025,6.6487443400054,6.40999922429536,6.88748945571543,"Male_Age_Standardized",2025,4.62160090316008,4.45208122276287,4.79757530003799,"Female_Age_Standardized"
"5",2026,4344.09175048442,4164.10491255393,4524.07858841491,"Total_Cases",2026,2365.89265979315,2235.50143228166,2496.28388730463,"Male_Cases",2026,2022.54398632105,1926.33687210109,2123.55597603324,"Female_Cases",2026,5.7657076400195,5.53374744772027,5.99766783231873,"Age_Standardized",2026,6.90941039938316,6.59482262092772,7.22399817783859,"Male_Age_Standardized",2026,4.85733016743855,4.6521913931149,5.07151455342669,"Female_Age_Standardized"
"6",2027,4536.8416502858,4297.63086541023,4776.05243516137,"Total_Cases",2027,2463.61582474143,2295.36227950358,2631.86936997929,"Male_Cases",2027,2155.25285524785,2026.99075753308,2291.6310065998,"Female_Cases",2027,5.99587510555529,5.68778780392649,6.30396240718409,"Age_Standardized",2027,7.17007645876092,6.77447587267874,7.5656770448431,"Male_Age_Standardized",2027,5.10508303288934,4.86464100076643,5.3574092658818,"Female_Age_Standardized"
"7",2028,4728.983360529,4425.5289700585,5032.43775099951,"Total_Cases",2028,2561.33898968972,2352.31661558672,2770.36136379272,"Male_Cases",2028,2286.29736910796,2120.84859832765,2464.65290549817,"Female_Cases",2028,6.22453614544927,5.83423010965216,6.61484218124638,"Age_Standardized",2028,7.43074251813868,6.94902350324435,7.91246153303301,"Male_Age_Standardized",2028,5.36547277502407,5.08927845849305,5.65665611231828,"Female_Age_Standardized"
"8",2029,4921.41975878934,4548.68871644429,5294.1508011344,"Total_Cases",2029,2659.06215463801,2406.53366436758,2911.59064490843,"Male_Cases",2029,2425.60448630423,2211.86754210677,2659.99523568902,"Female_Cases",2029,6.45400846048476,5.9748706960343,6.93314622493522,"Age_Standardized",2029,7.69140857751644,7.11862891121327,8.26418824381961,"Male_Age_Standardized",2029,5.6391439500703,5.32626074430714,5.9704070108853,"Female_Age_Standardized"
"9",2030,5113.71337092934,4667.18842040942,5560.23832144926,"Total_Cases",2030,2756.78531958629,2458.16250386789,3055.40813530469,"Male_Cases",2030,2581.59211772791,2316.54500888947,2876.96454709067,"Female_Cases",2030,6.68304386888712,6.10939834720025,7.25668939057399,"Age_Standardized",2030,7.9520746368942,7.28347853076014,8.62067074302827,"Male_Age_Standardized",2030,5.92677399047502,5.5759122641181,6.29971353032524,"Female_Age_Standardized"
"10",2031,5306.07616768146,4781.42379961215,5830.72853575077,"Total_Cases",2031,2854.50848453458,2507.33321194407,3201.68375712508,"Male_Cases",2031,2739.00280728581,2415.53195498714,3105.7905745484,"Female_Cases",2031,6.91231457034396,6.23856879346087,7.58606034722706,"Age_Standardized",2031,8.21274069627196,7.4437564641171,8.98172492842683,"Male_Age_Standardized",2031,6.22907488178827,5.83866388302934,6.6455912962734,"Female_Age_Standardized"
"11",2032,5498.40544219387,4891.55670810538,6105.25417628235,"Total_Cases",2032,2952.23164948286,2554.15959079871,3350.30370816702,"Male_Cases",2032,2908.03724382878,2515.7118855024,3361.5457557877,"Female_Cases",2032,7.14145855634883,6.36244008531329,7.92047702738437,"Age_Standardized",2032,8.47340675564972,7.59963593123629,9.34717758006316,"Male_Age_Standardized",2032,6.5467949250779,6.11502327365326,7.00905325670492,"Female_Age_Standardized"
