Year,num_inci,num_male_inci,num_female_inci,Age_standardized_Incidence,age_standardized_inci_male,age_standardized_inci_female,Age_Standardized_Prevalence,age_standardized_prev_male,age_standardized_prev_female,num_unique_prev,num_male_patient_prev,num_female_patient_prev,AE_cost,IP_cost,OP_cost,Cohort 2014 U,Cohort 2015 U,Cohort 2016 U,Cohort 2017 U,Cohort 2018 U,Cohort 2019 U,Cohort 2020 U,Cohort 2021 U,Cohort 2022 U,cohort 2014 M,cohort 2015 M,cohort 2016 M,cohort 2017 M,cohort 2018 M,cohort 2019 M,cohort 2020 M,cohort 2021 M,cohort 2022 M
2014,159,99,60,0.230221644,0.314528274,0.155716879,3.297013076,3.86335256,2.798498727,2178,1205,973,25716840,1842961240,239761035,160,0,0,0,0,0,0,0,0,0.012929613,0,0,0,0,0,0,0,0
2015,149,82,67,0.212131718,0.259672711,0.17518651,3.438362931,4.064147288,2.897462175,2302,1276,1026,26352750,1839201200,236603845,606,140,0,0,0,0,0,0,0,0.011962842,0.012179405,0,0,0,0,0,0,0
2016,173,88,85,0.248493315,0.272619104,0.228968705,3.623549594,4.275085559,3.063666628,2452,1352,1100,24914880,1855491790,223087005,869,542,145,0,0,0,0,0,0,0.008387446,0.011220562,0.012265464,0,0,0,0,0,0
2017,219,137,82,0.294028845,0.397579414,0.203666475,3.810660902,4.5681983,3.164227852,2638,1469,1169,25345380,1774461950,232110875,1054,776,544,142,0,0,0,0,0,0.008321965,0.009038728,0.012619144,0.010206735,0,0,0,0,0
2018,202,118,84,0.271370553,0.340080566,0.215006044,3.985831094,4.822545962,3.279384383,2814,1573,1241,22438890,1678847270,223919255,1231,999,794,551,180,0,0,0,0,0.007153666,0.007989348,0.008701564,0.011625616,0.009227066,0,0,0,0
2019,233,126,107,0.323230298,0.380179927,0.273979567,4.18065365,5.050057406,3.447648388,3004,1670,1334,21136320,1501618640,205276250,1358,1175,997,831,620,149,0,0,0,0.009214355,0.009261745,0.008983679,0.007841574,0.009043056,0.008218586,0,0,0
2020,199,116,83,0.267531019,0.33721297,0.209662735,4.365128109,5.281200396,3.590858916,3169,1765,1404,19360200,1446731430,180141370,1475,1306,1113,1035,875,662,104,0,0,0.008111321,0.006909633,0.00657394,0.00790355,0.008104059,0.010467398,0.007880803,0,0
2021,271,150,121,0.365386084,0.443597017,0.300179906,4.634450706,5.638156735,3.790487284,3393,1891,1502,23175660,1584733130,229380850,1578,1409,1260,1211,1101,1034,636,165,0,0.007331688,0.007708049,0.00821956,0.008101539,0.006591143,0.008007052,0.008005461,0.01009037,0
2022,212,105,107,0.283143437,0.307050231,0.26305241,4.84202502,5.866746162,3.980859806,3570,1975,1595,18138810,1217154460,183624960,1654,1485,1348,1317,1257,1263,968,545,147,0.00859314,0.009142779,0.009060261,0.009801252,0.009192066,0.009404621,0.008883328,0.009857183,0.008999937
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
